section,G,beta,campaign,ci_hi_pct,ci_lo_pct,cr2_df,cr2_p,cr2_se,cr2_t,drop,effect_pct,n,response,wcb_B,wcb_p,wcb_t_obs,xvar
primary_station_FE,10,0.13930225817251712,False,72.52108376849972,10.093667304658505,3.9166895730577997,0.016829826245962676,0.03483703287634013,3.998683202068149,,37.8168306102282,40,TSS,1024,0.060546875,3.469249897687551,P3_mm
primary_station_FE,10,0.10122306117728314,False,45.660980387591366,9.421557865627616,3.9166895730577997,0.010840314711638543,0.02218663218772008,4.562344583028169,,26.247579755989282,40,Turbidity,1024,0.06640625,4.018563771769081,P3_mm
primary_station_FE,10,0.040761681553577185,False,21.388306508975052,-0.6091257981657328,3.9166895730577997,0.05952546588035716,0.015506017934020944,2.628765278553181,,9.840292706307196,40,Fe,1024,0.138671875,2.3070642501203666,P3_mm
campaign_adjusted,10,0.027537283753226616,True,33.64530896782401,-15.058319645438722,5.0708710276459605,0.5054624180558003,0.038446722739408176,0.7162452815516755,,6.546032846049643,40,TSS,1024,0.4765625,0.643161859923893,P3_mm
campaign_adjusted,10,0.04175939915625304,True,37.807246866721435,-12.04779296987093,5.0708710276459605,0.3222889227481684,0.0380936585831211,1.0962296799382822,,10.092922146130668,40,Turbidity,1024,0.287109375,0.9762067295181821,P3_mm
campaign_adjusted,10,0.03658920730906923,True,30.62425008031109,-9.394491002322336,5.0708710276459605,0.29070454310886334,0.03103140377815239,1.1791025494898753,,8.790057753300795,40,Fe,1024,0.275390625,1.0526994859226741,P3_mm
proxy_excluded_station_FE,8,0.10412249691422398,False,87.21292985351702,-13.720195204255525,2.4645046633150747,0.13058056869324663,0.04657378096573858,2.235646210274841,,27.09325333392347,32,TSS,256,0.2109375,2.0039469098007663,P3_mm
proxy_excluded_station_FE,8,0.0720154575812547,False,62.92548750143947,-14.485081529030364,2.4645046633150747,0.17975656865230694,0.038754942652291374,1.858226400368491,,18.036264683903735,32,Turbidity,256,0.28125,1.9609091163194992,P3_mm
proxy_excluded_station_FE,8,0.02942131527148838,False,31.460574918466698,-12.8941940794565,2.4645046633150747,0.336334756316077,0.02474533171574247,1.1889642704919225,,7.009248782761901,32,Fe,256,0.4609375,1.1321226038782621,P3_mm
proxy_excluded_campaign_adjusted,8,0.004656786405550228,True,50.60526539485784,-32.1619404083155,2.915414866487423,0.9363038791443923,0.05352891391173486,0.08699571998096053,,1.0780340562568824,32,TSS,256,0.859375,0.08924198489472998,P3_mm
proxy_excluded_campaign_adjusted,8,0.023170398789311708,True,57.85981658387307,-29.519463105154443,2.915414866487423,0.6982157964681185,0.05412169097420437,0.428116682465728,,5.480067439081671,32,Turbidity,256,0.703125,0.43074289626528667,P3_mm
proxy_excluded_campaign_adjusted,8,0.02373455877522407,True,35.915176021554096,-17.926837998903743,2.915414866487423,0.5350941272558796,0.033855465417713435,0.7010554568482159,,5.617177864325273,32,Fe,256,0.46875,0.6532906855470955,P3_mm
alternative_rainfall_windows_station_FE,10,0.1418438893326803,False,151.45289923248043,-23.57575952227159,4.682686258062783,0.21344481663052725,0.09856162649033083,1.4391390887466289,,38.62574378435302,40,TSS,1024,0.208984375,1.333938294840006,P1_mm
alternative_rainfall_windows_station_FE,10,0.09541536265933205,False,96.76852036987972,-21.136671045898282,4.682686258062783,0.26648489344269977,0.07566699657573789,1.2609904843233377,,24.570544470760368,40,Turbidity,1024,0.296875,1.1607198915192722,P1_mm
